date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,qqq_close,ewy_close,cnn_trigger,vix_trigger,margin_trigger,signal_count,sell_leverage_trigger,sell_leading_trigger,sell_expert_trigger,sell_signal_count,ratio_cash,ratio_core,ratio_sat,memo,stage,nasdaq_sma200,sp500_sma200,kospi_sma200
2025-04-24,24.09,26.47,102.98,129.02,17166.04,2522.33,5484.77,1957.59,181.87,17166.04,2522.33,5484.77,1957.59,181.87,0.0,0.0,0.0,0.0,0.0,25.89,11.96,39.89,208.32,465.1,54.72,0,1,0,1,0,0,0,0,,,,,entry,18344.17,5747.18,2578.1
2025-04-25,34.51,24.84,98.95,132.37,17382.94,2546.3,5525.21,1957.62,183.64,17382.94,2546.3,5525.21,1957.62,183.64,0.0,0.0,0.0,0.0,0.0,26.74,12.3,39.52,211.31,470.28,54.58,0,1,0,1,0,0,0,0,,,,,entry,18338.94,5746.92,2576.85
2025-04-28,32.14,25.15,103.39,131.28,17366.13,2548.86,5528.75,1965.55,183.31,17382.94,2548.86,5528.75,1965.55,183.64,-0.1,0.0,0.0,0.0,-0.18,26.72,12.25,39.28,210.0,470.13,54.43,0,1,0,1,0,0,0,0,,,,,entry,18332.53,5746.4,2575.57
2025-04-29,32.74,24.17,101.31,134.29,17461.32,2565.42,5560.83,1976.52,181.35,17461.32,2565.42,5560.83,1976.52,183.64,0.0,0.0,0.0,0.0,-1.25,27.24,11.82,40.15,209.64,473.24,54.87,0,1,0,1,0,0,0,0,,,,,entry,18328.42,5746.28,2574.49
2025-04-30,32.37,24.7,102.29,132.73,17446.34,2556.61,5569.06,1964.12,182.67,17461.32,2565.42,5569.06,1976.52,183.64,-0.09,-0.34,0.0,-0.63,-0.53,27.25,12.12,40.45,210.62,473.18,54.96,0,1,0,1,0,0,0,0,,,,,entry,18323.66,5746.05,2573.3
2025-05-01,41.26,24.6,102.31,134.07,17710.74,,5604.14,1975.86,182.42,17710.74,,5604.14,1976.52,183.64,0.0,,0.0,-0.03,-0.66,28.19,12.06,39.16,211.64,479.36,54.38,0,1,0,1,0,0,0,0,,,,,entry,18319.85,5745.91,2573.3
2025-05-02,38.29,22.68,97.26,134.78,17977.73,2559.79,5686.67,2020.74,188.82,17977.73,2565.42,5686.67,2020.74,188.82,0.0,-0.22,0.0,0.0,0.0,29.51,13.24,43.47,218.35,486.48,56.44,0,0,0,0,0,0,0,0,,,,,normal,18317.19,5746.01,2571.98
2025-05-05,53.06,23.64,101.17,134.12,17844.24,,5650.38,2004.26,187.37,17977.73,,5686.67,2020.74,188.82,-0.74,,-0.64,-0.82,-0.77,29.0,13.01,45.16,216.93,483.59,57.1,0,0,0,0,0,0,0,0,,,,,normal,18316.43,5746.32,2571.98
2025-05-06,54.66,24.76,104.32,133.24,17689.66,,5606.91,1983.19,185.58,17977.73,,5686.67,2020.74,188.82,-1.6,,-1.4,-1.86,-1.72,28.17,12.6,45.16,214.92,479.09,57.21,0,1,0,1,0,0,0,0,,,,,entry,18315.52,5746.63,2571.98
2025-05-07,54.14,23.55,99.82,132.21,17738.16,2573.8,5631.28,1989.66,188.83,17977.73,2573.8,5686.67,2020.74,188.83,-1.33,0.0,-0.97,-1.54,0.0,28.5,13.23,43.6,219.34,480.97,56.52,0,1,0,1,0,0,0,0,,,,,entry,18315.58,5747.26,2570.54
2025-05-08,57.66,22.48,96.29,131.52,17928.14,2579.48,5663.94,2026.41,190.52,17977.73,2579.48,5686.67,2026.41,190.52,-0.28,0.0,-0.4,0.0,0.0,29.35,13.61,42.27,221.26,485.94,55.94,0,0,0,0,0,0,0,0,,,,,normal,18315.18,5747.76,2569.14
2025-05-09,60.03,21.9,96.35,128.4,17928.92,2577.27,5659.91,2023.07,192.71,17977.73,2579.48,5686.67,2026.41,192.71,-0.27,-0.09,-0.47,-0.16,0.0,29.28,14.06,43.31,222.71,485.62,56.42,0,0,0,0,0,0,0,0,,,,,normal,18314.84,5748.28,2567.69
2025-05-12,64.49,18.39,87.93,137.67,18708.34,2607.33,5844.19,2092.2,206.55,18708.34,2607.33,5844.19,2092.2,206.55,0.0,0.0,0.0,0.0,0.0,32.83,17.07,44.09,236.67,505.4,56.77,0,0,0,0,0,0,0,0,,,,,normal,18321.67,5750.37,2566.39
2025-05-13,68.2,18.22,91.59,140.52,19010.09,2608.42,5886.55,2102.35,212.4,19010.09,2608.42,5886.55,2102.35,212.4,0.0,0.0,0.0,0.0,0.0,34.33,18.54,44.13,244.8,513.11,56.84,0,0,0,0,0,0,0,0,,,,,normal,18330.81,5752.8,2564.98
